rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0173.jpg,69.2,0.7312,0.8898,0.7143,0.36,7,5,False,True
2,frame_0387.jpg,154.8,0.7308,0.7816,1.0,0.2,9,7,False,True
3,frame_0077.jpg,30.8,0.7044,0.714,0.5714,0.88,6,4,False,True
4,frame_0367.jpg,146.8,0.699,0.7661,1.0,0.08,9,7,False,True
5,frame_0072.jpg,28.8,0.6764,0.6957,0.4286,1.0,6,3,False,True
6,frame_0071.jpg,28.4,0.6743,0.6058,0.5714,1.0,7,4,False,False
7,frame_0000.jpg,0.0,0.6716,0.6004,0.5714,1.0,10,4,False,True
8,frame_0292.jpg,116.8,0.6699,0.5913,0.7143,0.8,6,5,False,True
9,frame_0002.jpg,0.8,0.6608,0.4931,0.7143,1.0,7,5,False,False
10,frame_0069.jpg,27.6,0.656,0.5692,0.5714,1.0,5,4,False,False
11,frame_0075.jpg,30.0,0.6479,0.6547,0.4286,0.96,6,3,False,False
12,frame_0368.jpg,147.2,0.6458,0.7614,0.8571,0.04,9,6,False,False
13,frame_0070.jpg,28.0,0.6457,0.6342,0.4286,1.0,7,3,False,False
14,frame_0029.jpg,11.6,0.6407,0.6242,0.4286,1.0,6,3,False,True
15,frame_0295.jpg,118.0,0.6406,0.6663,0.5714,0.68,6,4,False,False
16,frame_0015.jpg,6.0,0.6372,0.6173,0.4286,1.0,5,3,False,True
17,frame_0327.jpg,130.8,0.6354,0.7406,0.8571,0.04,9,6,False,True
18,frame_0132.jpg,52.8,0.6342,0.4399,0.7143,1.0,6,5,False,True
19,frame_0124.jpg,49.6,0.6336,0.5666,0.7143,0.68,7,5,False,True
20,frame_0005.jpg,2.0,0.6203,0.4978,0.5714,1.0,5,4,False,False
21,frame_0012.jpg,4.8,0.6183,0.5795,0.4286,1.0,3,3,False,False
22,frame_0378.jpg,151.2,0.6182,0.6902,0.8571,0.08,9,6,False,False
23,frame_0073.jpg,29.2,0.6147,0.7437,0.1429,1.0,6,1,False,False
24,frame_0209.jpg,83.6,0.6069,0.6686,0.4286,0.72,4,3,False,False
25,frame_0030.jpg,12.0,0.6056,0.4684,0.5714,1.0,7,4,False,False
26,frame_0116.jpg,46.4,0.6001,0.7133,0.5714,0.36,8,4,False,False
27,frame_0016.jpg,6.4,0.5997,0.4565,0.5714,1.0,6,4,False,False
28,frame_0397.jpg,158.8,0.5992,0.6899,0.7143,0.2,6,5,False,False
29,frame_0384.jpg,153.6,0.5983,0.7898,0.5714,0.16,7,4,False,False
30,frame_0014.jpg,5.6,0.5967,0.5363,0.4286,1.0,5,3,False,False
31,frame_0003.jpg,1.2,0.5965,0.4501,0.5714,1.0,6,4,False,False
32,frame_0004.jpg,1.6,0.596,0.5348,0.4286,1.0,7,3,False,False
33,frame_0114.jpg,45.6,0.5958,0.651,0.7143,0.28,7,5,False,False
34,frame_0021.jpg,8.4,0.5955,0.4482,0.5714,1.0,5,4,False,False
35,frame_0279.jpg,111.6,0.5945,0.7022,0.5714,0.36,7,4,False,False
36,frame_0008.jpg,3.2,0.5941,0.6167,0.2857,1.0,3,2,False,False
37,frame_0074.jpg,29.6,0.593,0.6145,0.2857,1.0,7,2,False,False
38,frame_0126.jpg,50.4,0.5926,0.6241,0.4286,0.76,6,3,False,False
39,frame_0285.jpg,114.0,0.5926,0.6023,0.5714,0.6,5,4,False,False
40,frame_0001.jpg,0.4,0.5883,0.6051,0.2857,1.0,8,2,False,False
41,frame_0186.jpg,74.4,0.5877,0.7309,0.7143,0.04,9,5,False,False
42,frame_0079.jpg,31.6,0.5822,0.7586,0.1429,0.8,7,1,False,False
43,frame_0076.jpg,30.4,0.5805,0.5358,0.4286,0.92,6,3,False,False
44,frame_0078.jpg,31.2,0.5805,0.5679,0.4286,0.84,6,3,False,False
45,frame_0284.jpg,113.6,0.5795,0.5922,0.5714,0.56,6,4,False,False
46,frame_0296.jpg,118.4,0.5791,0.4737,0.7143,0.64,5,5,False,False
47,frame_0130.jpg,52.0,0.5709,0.5166,0.4286,0.92,6,3,False,False
48,frame_0031.jpg,12.4,0.5698,0.5681,0.2857,1.0,9,2,False,False
49,frame_0028.jpg,11.2,0.5657,0.6456,0.1429,1.0,3,1,False,False
50,frame_0170.jpg,68.0,0.5654,0.6816,0.4286,0.48,7,3,False,False
51,frame_0067.jpg,26.8,0.5651,0.4731,0.4286,1.0,8,3,False,False
52,frame_0217.jpg,86.8,0.5636,0.7101,0.4286,0.4,3,3,False,False
53,frame_0176.jpg,70.4,0.5611,0.6833,0.5714,0.24,7,4,False,False
54,frame_0288.jpg,115.2,0.5595,0.5739,0.4286,0.72,6,3,False,False
55,frame_0033.jpg,13.2,0.5576,0.4581,0.4286,1.0,6,3,False,False
56,frame_0133.jpg,53.2,0.5561,0.455,0.4286,1.0,6,3,False,False
57,frame_0105.jpg,42.0,0.5548,0.6491,0.7143,0.08,6,5,False,False
58,frame_0306.jpg,122.4,0.5548,0.4994,0.8571,0.24,7,6,False,False
59,frame_0122.jpg,48.8,0.554,0.6109,0.4286,0.6,4,3,False,False
60,frame_0375.jpg,150.0,0.5533,0.6837,0.5714,0.2,8,4,False,False
61,frame_0299.jpg,119.6,0.5515,0.5522,0.5714,0.52,7,4,False,False
62,frame_0230.jpg,92.0,0.5511,0.797,0.4286,0.12,8,3,False,False
63,frame_0297.jpg,118.8,0.5495,0.6018,0.4286,0.6,5,3,False,False
64,frame_0302.jpg,120.8,0.5475,0.5922,0.5714,0.4,6,4,False,False
65,frame_0374.jpg,149.6,0.5472,0.6715,0.5714,0.2,8,4,False,False
66,frame_0231.jpg,92.4,0.5456,0.6844,0.5714,0.16,8,4,False,False
67,frame_0275.jpg,110.0,0.5439,0.6649,0.5714,0.2,6,4,False,False
68,frame_0167.jpg,66.8,0.5435,0.5898,0.4286,0.6,6,3,False,False
69,frame_0293.jpg,117.2,0.5427,0.61,0.2857,0.76,5,2,False,False
70,frame_0018.jpg,7.2,0.5417,0.4262,0.4286,1.0,5,3,False,False
71,frame_0398.jpg,159.2,0.5417,0.816,0.2857,0.24,8,2,False,False
72,frame_0332.jpg,132.8,0.5416,0.8101,0.4286,0.04,7,3,False,False
73,frame_0020.jpg,8.0,0.5405,0.5096,0.2857,1.0,4,2,False,False
74,frame_0125.jpg,50.0,0.5378,0.5304,0.4286,0.72,6,3,False,False
75,frame_0188.jpg,75.2,0.5375,0.6305,0.7143,0.04,8,5,False,False
76,frame_0129.jpg,51.6,0.5358,0.5482,0.2857,0.88,5,2,False,False
77,frame_0210.jpg,84.0,0.5279,0.6123,0.2857,0.68,3,2,False,False
78,frame_0024.jpg,9.6,0.5275,0.5692,0.1429,1.0,1,1,False,False
79,frame_0007.jpg,2.8,0.5269,0.4824,0.2857,1.0,6,2,False,False
80,frame_0113.jpg,45.2,0.5258,0.6128,0.5714,0.24,7,4,False,False
81,frame_0315.jpg,126.0,0.5258,0.6607,0.5714,0.12,5,4,False,False
82,frame_0011.jpg,4.4,0.5256,0.4797,0.2857,1.0,3,2,False,False
83,frame_0291.jpg,116.4,0.5238,0.5402,0.2857,0.84,7,2,False,False
84,frame_0174.jpg,69.6,0.5236,0.5764,0.5714,0.32,6,4,False,False
85,frame_0330.jpg,132.0,0.5235,0.6025,0.7143,0.04,10,5,False,False
86,frame_0106.jpg,42.4,0.5221,0.6854,0.5714,0.04,6,4,False,False
87,frame_0127.jpg,50.8,0.5219,0.4666,0.4286,0.8,6,3,False,False
88,frame_0388.jpg,155.2,0.5199,0.5472,0.7143,0.16,9,5,False,False
89,frame_0294.jpg,117.6,0.5157,0.6576,0.1429,0.72,5,1,False,False
90,frame_0276.jpg,110.4,0.5143,0.5898,0.5714,0.24,8,4,False,False
91,frame_0377.jpg,150.8,0.5119,0.5472,0.7143,0.12,11,5,False,False
92,frame_0087.jpg,34.8,0.5112,0.659,0.2857,0.48,3,2,False,False
